EntityId,ENTITYFIELDValue,ENTITYFIELDTypeValue,SPlowVoltageValue,SPHighInjectionRateValue,CorpIDValue,ChemicalTypeValue,ProductNameTimestamp,ProductNameValue,CustomerValue,SPLowLevelValue,SPLowpressValue,LattitudeValue,WellOperatorValue,InactivityAlarmValue,SPLowInjectRateValue,RealTimeEmailValue,FacilityIDValue,InactivityTimeoutValue,CostCenterValue,sgValue,SPLoLoLevelValue,SPHighpressValue,UntilNoValue,APINoValue,WellNameValue,LeaseNoValue,SPLowPumpConstantValue,SPMaxCurrentValue,SPHighLevelValue,InjectionPointValue,ProdTypeValue,SensorTypeValue,ActiveTimestamp,ActiveStatusValue,MiradorSerialNoValue,LongitudeValue,OffsetValue,TankTypeValue,TankHeightValue,AreaValue,VarianceValue,LastActivityTimestamp,LastActivityValue,ActDateTimestamp,ActDateValue
1d0701f0-5659-11ed-9857-81f573be3068,9167278-GW,MiradorGateway,,,,,1970-01-01 00:00:00.000,,,,,,,1723925101247.0,,,,,,,,,,,,,,,,,,,2024-08-17 20:05:10.147,True,,,,,,,,2024-10-02 19:24:40.961,1727897079897.0,1970-01-01 00:00:00.000,
f5d552e0-2f79-11ed-9857-81f573be3068,8729759-3,Hidden,,,,,1970-01-01 00:00:00.000,,,,,,,1695068255821.0,,,,,,,,,,,,,,,,,,,2023-09-18 20:17:35.822,False,,,,,,,,2023-09-18 20:07:35.231,1695067652458.0,1970-01-01 00:00:00.000,
91e9c590-8e2e-11ed-9857-81f573be3068,test,default,,,,,1970-01-01 00:00:00.000,,Contractor-A,,,,,1673057277674.0,,,,,,,,,,,,,,,,,,,2023-01-07 02:07:57.674,False,,,,,,Division-A,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,
77ff8ed0-0098-11ee-9336-3d1048dc9409,2711864-GW,MiradorGateway,,,,,1970-01-01 00:00:00.000,,,,,,,1723925102629.0,,,,,,,,,,,,,,,,,,,2024-08-17 20:05:09.684,True,,,,,,,,2024-10-02 19:24:58.973,1727897098235.0,1970-01-01 00:00:00.000,
a6968780-5b8e-11ed-9857-81f573be3068,9166825-GW,MiradorGateway,,,,,1970-01-01 00:00:00.000,,,,,,,1723925098892.0,,,,,,,,,,,,,,,,,,,2024-08-17 20:05:01.907,True,,,,,,,,2024-10-02 19:26:10.964,1727897168666.0,1970-01-01 00:00:00.000,
7622de50-cda4-11ec-92e3-ed9cae5ba158,6279548-GW,MiradorGateway,,,,,1970-01-01 00:00:00.000,,Chevron MCBU,,,,,1723925106935.0,,,,,,,,,,,,,,,,,,,2024-08-17 20:05:16.197,True,,,,,,Chevron-Odessa,,2024-10-02 19:25:22.964,1727897122477.0,1970-01-01 00:00:00.000,
f8d7e4e0-434b-11ed-9857-81f573be3068,8737976-3,Hidden,,,,,1970-01-01 00:00:00.000,,,,,,,1692588815821.0,,,,,,,,,,,,,,,,,,,2023-08-21 03:33:35.822,False,,,,,,,,2023-08-21 03:22:59.238,1692588176366.0,1970-01-01 00:00:00.000,
49938df0-a677-11ee-8d26-8dde86bb897d,1869382-2,Mirador2Daisy,9500.0,200.0,20183371,Corrosion - Scale Inhibitor,2024-03-12 20:26:06.833,MXC 6-3654B,BPXMC,100.0,1000.0,28,,1724123443288.0,0.0,,,,,,80.0,5000.0,,4238940114,STATE LEE WAY X201H,,,8500.0,,Cap String,,,2024-08-20 03:10:43.289,True,1869382-2,-97.45,,6,,BPXMC-Permian,,2024-10-02 19:25:58.969,1727897156869.0,2023-12-29 18:22:56.250,2023-12-29
d6bf2300-236e-11ef-a9f6-c90f2ddade4f,0864259063690835,TEK,9500.0,200.0,,,2024-06-05 19:07:23.014,,,100.0,1000.0,28,,1717744049554.0,0.0,0,,129600000.0,,1.0,80.0,5000.0,,,864259063690835,,1.0,8500.0,200.0,,34,0.0,2024-06-07 07:07:29.555,False,864259063690835,-97.45,0.0,0,0.0,,,2024-06-05 19:07:22.924,1717614442919.0,2024-06-05 19:07:23.014,2024-06-05
acb9d680-bb2f-11ec-92e3-ed9cae5ba158,7430748-3,Mirador2Daisy,,200.0,14495343,Corrosion - Scale Inhibitor,2024-01-16 22:08:43.858,MXC 6-3654B,BPXMC,100.0,1000.0,31.501953,BPX,1727882166193.0,0.0,,10213841,,,,80.0,5000.0,,4238938912,STATE PONY 57-T2-16X9 W113H,,,4000.0,,Cap-String,,,2024-10-02 15:24:22.303,True,7430748-3,-103.58304,,1,,BPXMC-Permian,,2024-10-02 19:24:40.961,1727897078966.0,2022-09-25 11:55:28.871,2022-04-15
72e33fe0-5b8f-11ed-9857-81f573be3068,9166825-1,Mirador2Lite,9500.0,200.0,,MeOH,2022-12-21 02:34:35.660,PFR23,Chevron MCBU,100.0,1000.0,27.8182262335548,,0.0,0.0,,,,,,80.0,5000.0,,30025466460001,Loch Ness 6H,,,8500.0,,Gas Lift,,,2024-09-20 13:46:52.271,True,9166825-1,-97.4569221222892,,12,,Chevron-Hobbs,,2024-10-02 19:26:10.964,1727897168666.0,2022-11-03 15:51:58.480,2022-11-03
4b6305d0-0604-11ed-b335-1b21e93a0807,8729817-23,Mirador2Daisy,9500.0,200.0,,Iron / Scale / Corrosion,2023-11-17 17:50:30.288,CSW-9528,Chevron MCBU,100.0,1000.0,31.20135,,1726061051182.0,0.0,,,,UCQV24130,,80.0,5000.0,,4238936279,Fort Stockton Beat 2,,,7000.0,,GF Pad 2 (44-3H),,,2024-09-11 15:30:06.523,True,,-103.35102,,3,,Chevron-Fort Stockton,,2024-10-02 19:22:37.961,1727896955238.0,2022-09-25 13:14:46.087,2022-07-17
9a3bf620-e6b6-11ec-b335-1b21e93a0807,7358618-3,Mirador2Daisy,10500.0,220.0,20175723,Corrosion-Scale Inhibitor,2024-01-16 21:45:46.158,MXC 6-3654B,BPXMC,100.0,1000.0,31.86968,BPX,1723925103080.0,0.0,,20000055,,,,80.0,5000.0,,4238939568,STATE AL OLSON 57-T2-6X43 2D B204H Pad G,,,4000.0,,Cap String,,,2024-08-17 20:07:18.292,True,7358618-3,-103.994524,,1,,BPXMC-Permian,,2024-10-02 19:26:04.979,1727897164519.0,2022-09-24 00:22:56.339,2022-06-09
9a15f790-e6b6-11ec-b335-1b21e93a0807,7358618-1,Mirador2Daisy,,200.0,20175736,Corrosion-Scale Inhibitor,2024-01-16 21:47:55.127,MXC 6-3654B,BPXMC,100.0,1000.0,31.8696799,BPX,1723925103093.0,0.0,,20000055,,,,80.0,5000.0,,4238939570,STATE AL OLSON 57-T2-6X43 G W107H Pad G,,,4000.0,,Cap String,,,2024-08-17 20:07:18.304,True,7358618-1,-103.9947169,,1,,BPXMC-Permian,,2024-10-02 19:26:04.979,1727897164519.0,2022-09-24 00:20:36.843,2022-06-09
2f1efe30-3da2-11ed-9857-81f573be3068,6242884-4,Hidden,,,,,1970-01-01 00:00:00.000,,,,,,,1726965397199.0,,,,,,,,,,,,,,,,,,,2024-09-22 01:53:58.140,True,,,,,,,,2024-10-02 19:24:19.969,1727897059102.0,1970-01-01 00:00:00.000,
