EntityId,pumpUtilValue,Variance7DayValue,BattVoltValue,PumpConstantValue,GallonsValue,Gal1Value,targetAValue,RadarStatusValue,SupplyvoltageoftheCIControllerTimestamp,SupplyvoltageoftheCIControllerValue,SensorTempValue,PeakPumpCurrentValue,PumpTypeValue,PumpCalibrationStatusValue,LastPumpConstantValue,PumpConstantVoltageValue,PumpRelayStateValue,VariableSpeedPumpValue,OrientationValue,TemperatureValue,PumpOperatingCycleTimeValue,PumpOperatingOnTimeValue,ErrorStatusBitValue,MasterVolumeTimebaseFlowValue,SonicRssiValue,BattEnergyValue,MasterVolumeFlowValue,PumpCycletimeValue,PumpOntimeValue,Gal2Value,OperatingModeValue,ContactReasonTimestamp,ContactReasonValue,BattLevelValue,AmbientTemperatureValue,Status1Timestamp,Status1Value,VarianceRateValue,Amountpumpedthis24HrcontractperiodValue,DaysInvValue,AmountToFullValue,Variance1DayValue,Limit3Timestamp,Limit3Value,Gal3Value,TankLevelValue,Limit2Timestamp,Limit2Value,SensorAnalogInputValue,Limit1Timestamp,Limit1Value,TargetInjectionRateSetPointforAutoVolumeModeValue,CurrentPumpConstantValue,AveragePumpCurrentCalculatedValue,ImsiValue,Gal7Value,NetRssiValue,SendAttemptsValue,CSQTimestamp,CSQValue,ControllerStatusTimestamp,ControllerStatusValue,SonicResultCodeValue,NewDataTimestamp,NewDataValue,ImeiValue,FillGalTimestamp,FillGalValue,RadarFirmwareValue,HighTemperatureShutoffPointValue,GsmRatValue,GsmNetworkValue,TargetRatioforAutoTrackModeValue,PumpEnergizeValue,ValveEnergizeValue,TargetInjectionRateValue,ActualInjectionRateValue,PublishTimestamp,PublishValue,Amountpumpedprevious24HrcontractperiodValue,MaxGallonsValue,UllageTimestamp,UllageValue,ENTITYFIELDValue,ENTITYFIELDTs,ENTITYFIELDType
00176800-4950-11ef-a9f6-c90f2ddade4f,44.0,,,10.386917,934.5791551359998,27.4,103.0,,2024-10-02 19:25:39.080,13323.0,,3013.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,150.0,66.0,0.0,2.0,,,4355.0,0.0,0.0,396.85,3,1970-01-01 00:00:00.000,,,0.0,2024-10-02 19:25:39.080,1.0,0.0,65.761803,34.0,75.42084486400017,,1970-01-01 00:00:00.000,,254.6,69.440384,1970-01-01 00:00:00.000,,69.568619,1970-01-01 00:00:00.000,,320.0,10.386917,1325.0,295050915192194.0,92.01428571428572,,,2024-07-24 22:13:02.696,28.0,2024-10-02 19:25:39.080,Online,,1970-01-01 00:00:00.000,,865061060041445.0,2024-10-02 19:25:39.080,821.4,,0.0,,,0.0252,0,0,109.746002,109.685844,2024-10-02 19:25:39.080,0.0,113.426323,1010.0,1970-01-01 00:00:00.000,,0041445-1,1727897211030,Mirador2Daisy
005a60f0-8065-11ef-bdc7-f9c9b5da3899,,,3.549,,,,,0.0,2024-10-02 08:00:00.000,3549.0,64.4,,,,,,,,6.0,,,,,,9.0,9288.0,,,,,TLM,2024-10-02 08:00:00.000,34.0,99.0,644.0,1970-01-01 00:00:00.000,,,,,,,2024-10-02 08:00:00.000,False,,-24.21255,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,,-25,3.0,2024-10-02 08:00:00.000,25.0,1970-01-01 00:00:00.000,,8.0,2024-10-02 08:00:00.000,1.0,,1970-01-01 00:00:00.000,,1.1,,2G GSM/EDGE,True,,,,0.0,,1970-01-01 00:00:00.000,,,999.0,2024-10-02 08:00:00.000,24.21255,864259063625864,1727897211031,TEK
0077ab10-77a0-11ef-bdc7-f9c9b5da3899,17.0,,,11.747211,855.2510518959999,11.6,94.0,,2024-10-02 19:18:06.732,13460.0,,2696.0,0.0,0.0,,1.0,0.0,,,,150.0,26.0,0.0,2.0,,,0.0,0.0,0.0,10.25,4,1970-01-01 00:00:00.000,,,0.0,1970-01-01 00:00:00.000,,2.0,28.526026,70.0,154.74894810400008,,1970-01-01 00:00:00.000,,9.933333333333334,63.576824,1970-01-01 00:00:00.000,,64.259216,1970-01-01 00:00:00.000,,48.0,11.735004,467.0,,9.928571428571429,,,1970-01-01 00:00:00.000,,2024-10-02 19:18:06.732,Online,,1970-01-01 00:00:00.000,,,2024-10-02 19:18:06.732,0.0,,0.0,,,0.0,1,1,48.0,48.817619,1970-01-01 00:00:00.000,,45.15691,1010.0,1970-01-01 00:00:00.000,,1870588-9,1727897211031,Mirador2Daisy
0098e570-5b56-11ef-a521-8dbd3dfee5f4,,,3.552,,78.38679409782702,2.0111479877614613,,0.0,2024-10-02 08:00:00.000,3552.0,53.6,,,,,,,,20.0,,,,,,10.0,4538.0,,,,1.115,TLM,2024-10-02 08:00:00.000,34.0,99.0,536.0,1970-01-01 00:00:00.000,,,,,56.61320590217298,,2024-10-02 08:00:00.000,False,0.5966666666666667,16.67719,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,5.28,-114,3.0,2024-10-02 08:00:00.000,114.0,2024-10-02 08:00:00.000,Online,8.0,2024-10-02 08:00:00.000,1.0,,2024-10-02 08:00:00.000,0.0,1.1,,LTE CATM1,True,,,,0.0,,1970-01-01 00:00:00.000,,,135.0,2024-10-02 08:00:00.000,12.32281,864259063710930,1727897211031,TEK
00a20e00-8db9-11ed-9857-81f573be3068,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,0430319-GW,1727897211031,MiradorGateway
00a70730-689b-11ee-a863-f3c275beacd1,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,2725997-GW,1727897211031,MiradorGateway
00b56cb0-4ac4-11ef-a9f6-c90f2ddade4f,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,732123201708131.0,,,,2024-07-25 20:30:16.239,21.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,862636053775837.0,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,3775837,1727897211031,EdgeLight
00cb41a0-20c9-11ee-88ca-bb0d42b66d22,0.0,,,22.985598,257.87299705000004,88.8,0.0,,2024-10-02 19:18:49.132,12040.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,256.0,0.0,,,0.0,0.0,0.0,44.4,3,1970-01-01 00:00:00.000,,,0.0,2024-10-01 19:41:15.048,0.0,-100.0,0.006385,,752.1270029499999,,1970-01-01 00:00:00.000,,29.6,19.42145,1970-01-01 00:00:00.000,,29.469265,1970-01-01 00:00:00.000,,0.0,22.985598,0.0,295050915191953.0,12.685714285714283,,,2024-10-02 19:23:49.120,27.0,2024-10-02 19:18:49.132,Online,,1970-01-01 00:00:00.000,,866834048899939.0,2024-10-02 19:18:49.132,0.0,,0.0,,,8.319590541127234e+31,0,0,0.0,0.0,2024-10-02 19:23:49.120,0.0,0.0,1010.0,1970-01-01 00:00:00.000,,8899939-1,1727897211031,Scavenger
00d70b60-01bb-11ef-a9f6-c90f2ddade4f,,,3.516,,,,,,2024-04-23 21:46:00.000,3516.0,78.80000000000001,,,,,,,,,,,,,,10.0,,,,,,,2024-04-23 21:46:00.000,38.0,100.0,788.0000000000001,1970-01-01 00:00:00.000,,,,,,,2024-04-23 21:46:00.000,False,,,2024-04-23 21:46:00.000,False,,2024-04-23 21:46:00.000,False,,,,,,,,2024-04-23 21:46:00.000,76.0,1970-01-01 00:00:00.000,,10.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,LTE NB-IoT,True,,,,,,1970-01-01 00:00:00.000,,,,2024-04-23 21:46:00.000,25.354280000000003,0864259063687278,1727897211032,TEK
00db4ee0-77a0-11ef-bdc7-f9c9b5da3899,18.0,,,13.805247,804.998149614,13.9,93.0,,2024-10-02 19:18:06.732,12942.0,,4310.0,0.0,0.0,,0.0,0.0,,,,150.0,27.0,0.0,2.0,,,0.0,0.0,0.0,13.6,4,1970-01-01 00:00:00.000,,,0.0,1970-01-01 00:00:00.000,,1.0,34.363125,54.0,205.001850386,,1970-01-01 00:00:00.000,,12.8,59.862366,1970-01-01 00:00:00.000,,60.281528,1970-01-01 00:00:00.000,,59.0,13.805247,775.0,,11.94285714285714,,,1970-01-01 00:00:00.000,,2024-10-02 19:18:06.732,Online,,1970-01-01 00:00:00.000,,,2024-10-02 19:18:06.732,0.0,,0.0,,,0.0,0,1,59.0,59.638668,1970-01-01 00:00:00.000,,54.816971,1010.0,1970-01-01 00:00:00.000,,1870588-10,1727897211032,Mirador2Daisy
