readAttrs,readTs,entityId.entityType,entityId.id,latest.ENTITY_FIELD.name.ts,latest.ENTITY_FIELD.name.value,latest.ENTITY_FIELD.type.ts,latest.ENTITY_FIELD.type.value,latest.ATTRIBUTE.SP_LowVoltage.ts,latest.ATTRIBUTE.SP_LowVoltage.value,latest.ATTRIBUTE.SP_High_Injection_Rate.ts,latest.ATTRIBUTE.SP_High_Injection_Rate.value,latest.ATTRIBUTE.CorpID.ts,latest.ATTRIBUTE.CorpID.value,latest.ATTRIBUTE.ChemicalType.ts,latest.ATTRIBUTE.ChemicalType.value,latest.ATTRIBUTE.ProductName.ts,latest.ATTRIBUTE.ProductName.value,latest.ATTRIBUTE.Customer.ts,latest.ATTRIBUTE.Customer.value,latest.ATTRIBUTE.SP_LowLevel.ts,latest.ATTRIBUTE.SP_LowLevel.value,latest.ATTRIBUTE.SP_LowPress.ts,latest.ATTRIBUTE.SP_LowPress.value,latest.ATTRIBUTE.Latitude.ts,latest.ATTRIBUTE.Latitude.value,latest.ATTRIBUTE.WellOperator.ts,latest.ATTRIBUTE.WellOperator.value,latest.ATTRIBUTE.inactivityAlarmTime.ts,latest.ATTRIBUTE.inactivityAlarmTime.value,latest.ATTRIBUTE.SP_LowInjectRate.ts,latest.ATTRIBUTE.SP_LowInjectRate.value,latest.ATTRIBUTE.Disable_RealTime_Emails.ts,latest.ATTRIBUTE.Disable_RealTime_Emails.value,latest.ATTRIBUTE.FacilityID.ts,latest.ATTRIBUTE.FacilityID.value,latest.ATTRIBUTE.inactivityTimeout.ts,latest.ATTRIBUTE.inactivityTimeout.value,latest.ATTRIBUTE.CostCenter.ts,latest.ATTRIBUTE.CostCenter.value,latest.ATTRIBUTE.sg.ts,latest.ATTRIBUTE.sg.value,latest.ATTRIBUTE.SP_LoLoLevel.ts,latest.ATTRIBUTE.SP_LoLoLevel.value,latest.ATTRIBUTE.SP_HighPress.ts,latest.ATTRIBUTE.SP_HighPress.value,latest.ATTRIBUTE.UntiNo.ts,latest.ATTRIBUTE.UntiNo.value,latest.ATTRIBUTE.APINo.ts,latest.ATTRIBUTE.APINo.value,latest.ATTRIBUTE.WellName.ts,latest.ATTRIBUTE.WellName.value,latest.ATTRIBUTE.LeaseNo.ts,latest.ATTRIBUTE.LeaseNo.value,latest.ATTRIBUTE.SP_LowPumpConstant.ts,latest.ATTRIBUTE.SP_LowPumpConstant.value,latest.ATTRIBUTE.SP_MaxCurrent.ts,latest.ATTRIBUTE.SP_MaxCurrent.value,latest.ATTRIBUTE.SP_HighLevel.ts,latest.ATTRIBUTE.SP_HighLevel.value,latest.ATTRIBUTE.InjectionPoint.ts,latest.ATTRIBUTE.InjectionPoint.value,latest.ATTRIBUTE.ProdType.ts,latest.ATTRIBUTE.ProdType.value,latest.ATTRIBUTE.sensortype.ts,latest.ATTRIBUTE.sensortype.value,latest.ATTRIBUTE.active.ts,latest.ATTRIBUTE.active.value,latest.ATTRIBUTE.MiradorSerialNo.ts,latest.ATTRIBUTE.MiradorSerialNo.value,latest.ATTRIBUTE.Longitude.ts,latest.ATTRIBUTE.Longitude.value,latest.ATTRIBUTE.Offset.ts,latest.ATTRIBUTE.Offset.value,latest.ATTRIBUTE.tanktype.ts,latest.ATTRIBUTE.tanktype.value,latest.ATTRIBUTE.TankHeight.ts,latest.ATTRIBUTE.TankHeight.value,latest.ATTRIBUTE.Area.ts,latest.ATTRIBUTE.Area.value,latest.ATTRIBUTE.variance.ts,latest.ATTRIBUTE.variance.value,latest.ATTRIBUTE.lastActivityTime.ts,latest.ATTRIBUTE.lastActivityTime.value,latest.ATTRIBUTE.actdate.ts,latest.ATTRIBUTE.actdate.value
True,True,DEVICE,1d0701f0-5659-11ed-9857-81f573be3068,1727897178910,9167278-GW,1727897178910,MiradorGateway,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925101247,1723925101247,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925110147,true,0,,0,,0,,0,,0,,0,,0,,1727897080961,1727897079897,0,
True,True,DEVICE,f5d552e0-2f79-11ed-9857-81f573be3068,1727897178910,8729759-3,1727897178910,Hidden,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1695068255822,1695068255821,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1695068255822,false,0,,0,,0,,0,,0,,0,,0,,1695067655231,1695067652458,0,
True,True,DEVICE,91e9c590-8e2e-11ed-9857-81f573be3068,1727897178910,test,1727897178910,default,0,,0,,0,,0,,0,,1727884839445,Contractor-A,0,,0,,0,,0,,1673057277674,1673057277674,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1673057277674,false,0,,0,,0,,0,,0,,1727884839445,Division-A,0,,0,,0,
True,True,DEVICE,77ff8ed0-0098-11ee-9336-3d1048dc9409,1727897178910,2711864-GW,1727897178910,MiradorGateway,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925102629,1723925102629,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925109684,true,0,,0,,0,,0,,0,,0,,0,,1727897098973,1727897098235,0,
True,True,DEVICE,a6968780-5b8e-11ed-9857-81f573be3068,1727897178910,9166825-GW,1727897178910,MiradorGateway,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925098892,1723925098892,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925101907,true,0,,0,,0,,0,,0,,0,,0,,1727897170964,1727897168666,0,
True,True,DEVICE,7622de50-cda4-11ec-92e3-ed9cae5ba158,1727897178910,6279548-GW,1727897178910,MiradorGateway,0,,0,,0,,0,,0,,1727884832091,Chevron MCBU,0,,0,,0,,0,,1723925106935,1723925106935,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1723925116197,true,0,,0,,0,,0,,0,,1727884832091,Chevron-Odessa,0,,1727897122964,1727897122477,0,
True,True,DEVICE,f8d7e4e0-434b-11ed-9857-81f573be3068,1727897178910,8737976-3,1727897178910,Hidden,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1692588815822,1692588815821,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1692588815822,false,0,,0,,0,,0,,0,,0,,0,,1692588179238,1692588176366,0,
True,True,DEVICE,49938df0-a677-11ee-8d26-8dde86bb897d,1727897178910,1869382-2,1727897178910,Mirador2Daisy,1703874176250,9500,1706288180861,200,1712583967309,20183371,1710275154532,Corrosion - Scale Inhibitor,1710275166833,MXC 6-3654B,1727884821198,BPXMC,1703874176250,100,1703874176250,1000,1703874176250,28,1703874176250,,1724123443288,1724123443288,1703874176250,0,0,,0,,0,,1703874176250,,0,,1703874176250,80,1703874176250,5000,1703874176250,,1712594942979,4238940114,1710275136045,STATE LEE WAY X201H,1703874176250,,0,,1703874176250,8500,0,,1710275143026,Cap String,0,,0,,1724123443289,true,1703874176250,1869382-2,1703874176250,-97.45,0,,1712605987997,6,0,,1727884821198,BPXMC-Permian,0,,1727897158969,1727897156869,1703874176250,2023-12-29
True,True,DEVICE,d6bf2300-236e-11ef-a9f6-c90f2ddade4f,1727897178911,0864259063690835,1727897178911,TEK,1717614443014,9500,1717614443014,200,0,,1717614443014,,1717614443014,,0,,1717614443014,100,1717614443014,1000,1717614443014,28,1717614443014,,1717744049554,1717744049554,1717614443014,0,1717614443014,0,1717614443014,,1717614443014,129600000,1717614443014,,1717614443014,1,1717614443014,80,1717614443014,5000,1717614443014,,1717614443014,,1717614443014,864259063690835,1717614443014,,1717614443014,1,1717614443014,8500,1717614443014,200,1717614443014,,1717614442993,34,1717614443014,0,1717744049555,false,1717614443014,864259063690835,1717614443014,-97.45,1717614443014,0,1717614443014,0,1717614443014,0,0,,0,,1717614442924,1717614442919,1717614443014,2024-06-05
True,True,DEVICE,acb9d680-bb2f-11ec-92e3-ed9cae5ba158,1727897178911,7430748-3,1727897178911,Mirador2Daisy,0,,1706134060678,200,1673922223553,14495343,1704223510141,Corrosion - Scale Inhibitor,1705442923858,MXC 6-3654B,1727884844809,BPXMC,1649896403543,100,1649896403543,1000,1650054056292,31.501953,1650054043323,BPX,1727882166195,1727882166193,1649896403543,0,0,,1673922234560,10213841,0,,0,,0,,1649896403543,80,1649896403543,5000,0,,1673922227753,4238938912,1649903099363,STATE PONY 57-T2-16X9 W113H,0,,0,,1649896403543,4000,0,,1706133122374,Cap-String,0,,0,,1727882662303,true,1655388730161,7430748-3,1650054068186,-103.58304,0,,1704223560827,1,0,,1727884844809,BPXMC-Permian,0,,1727897080961,1727897078966,1664106928871,2022-04-15
