readAttrs,readTs,entityId.entityType,entityId.id,latest.TIME_SERIES.pumpUtil.ts,latest.TIME_SERIES.pumpUtil.value,latest.TIME_SERIES.Variance7Day.ts,latest.TIME_SERIES.Variance7Day.value,latest.TIME_SERIES.BattVolt.ts,latest.TIME_SERIES.BattVolt.value,latest.TIME_SERIES.1178.ts,latest.TIME_SERIES.1178.value,latest.TIME_SERIES.gallons.ts,latest.TIME_SERIES.gallons.value,latest.TIME_SERIES.Gal1day.ts,latest.TIME_SERIES.Gal1day.value,latest.TIME_SERIES.targetA.ts,latest.TIME_SERIES.targetA.value,latest.TIME_SERIES.RadarStatus.ts,latest.TIME_SERIES.RadarStatus.value,latest.TIME_SERIES.9995.ts,latest.TIME_SERIES.9995.value,latest.TIME_SERIES.sensor_temp.ts,latest.TIME_SERIES.sensor_temp.value,latest.TIME_SERIES.1110.ts,latest.TIME_SERIES.1110.value,latest.TIME_SERIES.1153.ts,latest.TIME_SERIES.1153.value,latest.TIME_SERIES.1152.ts,latest.TIME_SERIES.1152.value,latest.TIME_SERIES.1196.ts,latest.TIME_SERIES.1196.value,latest.TIME_SERIES.1151.ts,latest.TIME_SERIES.1151.value,latest.TIME_SERIES.1150.ts,latest.TIME_SERIES.1150.value,latest.TIME_SERIES.1194.ts,latest.TIME_SERIES.1194.value,latest.TIME_SERIES.Orientation.ts,latest.TIME_SERIES.Orientation.value,latest.TIME_SERIES.1192.ts,latest.TIME_SERIES.1192.value,latest.TIME_SERIES.1107.ts,latest.TIME_SERIES.1107.value,latest.TIME_SERIES.1106.ts,latest.TIME_SERIES.1106.value,latest.TIME_SERIES.1105.ts,latest.TIME_SERIES.1105.value,latest.TIME_SERIES.1104.ts,latest.TIME_SERIES.1104.value,latest.TIME_SERIES.sonic_rssi.ts,latest.TIME_SERIES.sonic_rssi.value,latest.TIME_SERIES.BattEnergy.ts,latest.TIME_SERIES.BattEnergy.value,latest.TIME_SERIES.1103.ts,latest.TIME_SERIES.1103.value,latest.TIME_SERIES.1102.ts,latest.TIME_SERIES.1102.value,latest.TIME_SERIES.1101.ts,latest.TIME_SERIES.1101.value,latest.TIME_SERIES.Gal2day.ts,latest.TIME_SERIES.Gal2day.value,latest.TIME_SERIES.1100.ts,latest.TIME_SERIES.1100.value,latest.TIME_SERIES.ContactReason.ts,latest.TIME_SERIES.ContactReason.value,latest.TIME_SERIES.BattLevel.ts,latest.TIME_SERIES.BattLevel.value,latest.TIME_SERIES.1108.ts,latest.TIME_SERIES.1108.value,latest.TIME_SERIES.Status-1.ts,latest.TIME_SERIES.Status-1.value,latest.TIME_SERIES.varianceRate.ts,latest.TIME_SERIES.varianceRate.value,latest.TIME_SERIES.1120.ts,latest.TIME_SERIES.1120.value,latest.TIME_SERIES.daysInv.ts,latest.TIME_SERIES.daysInv.value,latest.TIME_SERIES.Data0.ts,latest.TIME_SERIES.Data0.value,latest.TIME_SERIES.rawData.ts,latest.TIME_SERIES.rawData.value,latest.TIME_SERIES.amount_to_full.ts,latest.TIME_SERIES.amount_to_full.value,latest.TIME_SERIES.Variance1Day.ts,latest.TIME_SERIES.Variance1Day.value,latest.TIME_SERIES.limit_3.ts,latest.TIME_SERIES.limit_3.value,latest.TIME_SERIES.Gal3day.ts,latest.TIME_SERIES.Gal3day.value,latest.TIME_SERIES.1118.ts,latest.TIME_SERIES.1118.value,latest.TIME_SERIES.limit_2.ts,latest.TIME_SERIES.limit_2.value,latest.TIME_SERIES.1116.ts,latest.TIME_SERIES.1116.value,latest.TIME_SERIES.limit_1.ts,latest.TIME_SERIES.limit_1.value,latest.TIME_SERIES.1115.ts,latest.TIME_SERIES.1115.value,latest.TIME_SERIES.1114.ts,latest.TIME_SERIES.1114.value,latest.TIME_SERIES.1112.ts,latest.TIME_SERIES.1112.value,latest.TIME_SERIES.1111.ts,latest.TIME_SERIES.1111.value,latest.TIME_SERIES.IMSI.ts,latest.TIME_SERIES.IMSI.value,latest.TIME_SERIES.Gal7day.ts,latest.TIME_SERIES.Gal7day.value,latest.TIME_SERIES.NetRSSI.ts,latest.TIME_SERIES.NetRSSI.value,latest.TIME_SERIES.SendAttempts.ts,latest.TIME_SERIES.SendAttempts.value,latest.TIME_SERIES.CSQ.ts,latest.TIME_SERIES.CSQ.value,latest.TIME_SERIES.ControllerStatus.ts,latest.TIME_SERIES.ControllerStatus.value,latest.TIME_SERIES.sonic_result_code.ts,latest.TIME_SERIES.sonic_result_code.value,latest.TIME_SERIES.NewData.ts,latest.TIME_SERIES.NewData.value,latest.TIME_SERIES.IMEI.ts,latest.TIME_SERIES.IMEI.value,latest.TIME_SERIES.FillGal.ts,latest.TIME_SERIES.FillGal.value,latest.TIME_SERIES.RadarFirmware.ts,latest.TIME_SERIES.RadarFirmware.value,latest.TIME_SERIES.1130.ts,latest.TIME_SERIES.1130.value,latest.TIME_SERIES.gsm_rat.ts,latest.TIME_SERIES.gsm_rat.value,latest.TIME_SERIES.gsm_network_roaming_status.ts,latest.TIME_SERIES.gsm_network_roaming_status.value,latest.TIME_SERIES.1128.ts,latest.TIME_SERIES.1128.value,latest.TIME_SERIES.101.ts,latest.TIME_SERIES.101.value,latest.TIME_SERIES.102.ts,latest.TIME_SERIES.102.value,latest.TIME_SERIES.1126.ts,latest.TIME_SERIES.1126.value,latest.TIME_SERIES.Ullage2.ts,latest.TIME_SERIES.Ullage2.value,latest.TIME_SERIES.1124.ts,latest.TIME_SERIES.1124.value,latest.TIME_SERIES.publish.ts,latest.TIME_SERIES.publish.value,latest.TIME_SERIES.1122.ts,latest.TIME_SERIES.1122.value,latest.TIME_SERIES.maxgallons.ts,latest.TIME_SERIES.maxgallons.value,latest.TIME_SERIES.Ullage.ts,latest.TIME_SERIES.Ullage.value,latest.ENTITY_FIELD.name.ts,latest.ENTITY_FIELD.name.value,latest.ENTITY_FIELD.type.ts,latest.ENTITY_FIELD.type.value
True,True,DEVICE,00176800-4950-11ef-a9f6-c90f2ddade4f,1727897139080,44,0,,0,,1727897139080,10.386917,1727897139080,934.5791551359998,1727889339172,27.4,1727897139080,103,0,,1727897139080,13323,0,,1727897139080,3013,1727897139080,0,1727897139080,0,1727894282544,0,1727897139080,0,1727897139080,0,1727894282544,0,0,,1727894282544,0,1727897139080,150,1727897139080,66,1727897139080,0,1727897139080,2,0,,0,,1727897139080,4355,1727897139080,0,1727897139080,0,1727897139080,396.85,1727897139080,3,0,,0,,1727897139080,0,1727897139080,1,1727897139080,0,1727897139080,65.761803,1727897139080,34,0,,0,,1727897139080,75.42084486400017,0,,0,,1727897139080,254.6,1727897139080,69.440384,0,,1727897139080,69.568619,0,,0,,1727897139080,320,1727897139080,10.386917,1727897139080,1325,1721859182696,295050915192194,1727897139080,92.01428571428572,0,,0,,1721859182696,28,1727897139080,Online,0,,0,,1721859182696,865061060041445,1727897139080,821.4,0,,1727897139080,0,0,,0,,1727897139080,0.0252,1727897139080,0,1727897139080,0,1727897139080,109.746002,0,,1727897139080,109.685844,1727897139080,0,1727897139080,113.426323,1727897139080,1010,0,,1727897211030,0041445-1,1727897211030,Mirador2Daisy
True,True,DEVICE,005a60f0-8065-11ef-bdc7-f9c9b5da3899,0,,0,,1727856000000,3.549,0,,1727856000000,n/a,0,,0,,1727856000000,0,1727856000000,3549,1727856000000,64.4,0,,0,,0,,0,,0,,0,,0,,1727856000000,6,0,,0,,0,,0,,0,,1727856000000,9,1727856000000,9288,0,,0,,0,,0,,1727856000000,TLM,1727856000000,34,1727856000000,99,1727856000000,644,0,,0,,0,,0,,1727856000000,24.21255,1727856000000,61.5,0,,0,,1727856000000,false,0,,1727856000000,-24.21255,1727856000000,false,0,,1727856000000,false,0,,0,,0,,0,,0,,0,,1727856000000,-25,1727856000000,3,1727856000000,25,0,,1727856000000,8,1727856000000,1,0,,0,,1727856000000,1.1,0,,1727856000000,2G GSM/EDGE,1727856000000,true,0,,0,,0,,1727856000000,0,1727856000000,24.21255,0,,0,,0,,1727856000000,999,1727856000000,24.21255,1727897211031,864259063625864,1727897211031,TEK
True,True,DEVICE,0077ab10-77a0-11ef-bdc7-f9c9b5da3899,1727896686732,17,0,,0,,1727886186736,11.747211,1727896686732,855.2510518959999,1727896686732,11.6,1727896686732,94,0,,1727896686732,13460,0,,1727896686732,2696,1727885886732,0,1727885886732,0,0,,1727885886732,1,1727885886732,0,0,,0,,0,,1727896686732,150,1727896686732,26,1727896686732,0,1727896686732,2,0,,0,,1727896686732,0,1727896686732,0,1727896686732,0,1727896686732,10.25,1727896686732,4,0,,0,,1727896686732,0,0,,1727896686732,2,1727896686732,28.526026,1727896686732,70,0,,0,,1727896686732,154.74894810400008,0,,0,,1727896686732,9.933333333333334,1727896686732,63.576824,0,,1727896686732,64.259216,0,,0,,1727896686732,48,1727896686732,11.735004,1727896686732,467,0,,1727896686732,9.928571428571429,0,,0,,0,,1727896686732,Online,0,,0,,0,,1727896686732,0,0,,1727896686732,0,0,,0,,1727896686732,0,1727890986732,1,1727890986732,1,1727896686732,48,0,,1727896686732,48.817619,0,,1727896686732,45.15691,1727896686732,1010,0,,1727897211031,1870588-9,1727897211031,Mirador2Daisy
True,True,DEVICE,0098e570-5b56-11ef-a521-8dbd3dfee5f4,0,,1727856000000,n/a,1727856000000,3.552,0,,1727856000000,78.38679409782702,1727856000000,2.0111479877614613,0,,1727856000000,0,1727856000000,3552,1727856000000,53.6,0,,0,,0,,0,,0,,0,,0,,1727856000000,20,0,,0,,0,,0,,0,,1727856000000,10,1727856000000,4538,0,,0,,0,,1727856000000,1.115,1727856000000,TLM,1727856000000,34,1727856000000,99,1727856000000,536,0,,1727856000000,n/a,0,,1727856000000,n/a,1727856000000,12.32281,1727856000000,31.3,1727856000000,56.61320590217298,1727856000000,n/a,1727856000000,false,1727856000000,0.5966666666666667,1727856000000,16.67719,1727856000000,false,0,,1727856000000,false,0,,0,,0,,0,,0,,1727856000000,5.28,1727856000000,-114,1727856000000,3,1727856000000,114,1727856000000,Online,1727856000000,8,1727856000000,1,0,,1727856000000,0,1727856000000,1.1,0,,1727856000000,LTE CATM1,1727856000000,true,0,,0,,0,,1727856000000,0,1727856000000,12.32281,0,,0,,0,,1727856000000,135,1727856000000,12.32281,1727897211031,864259063710930,1727897211031,TEK
True,True,DEVICE,00a20e00-8db9-11ed-9857-81f573be3068,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1727897211031,0430319-GW,1727897211031,MiradorGateway
True,True,DEVICE,00a70730-689b-11ee-a863-f3c275beacd1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1727897211031,2725997-GW,1727897211031,MiradorGateway
True,True,DEVICE,00b56cb0-4ac4-11ef-a9f6-c90f2ddade4f,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1721939416239,732123201708131,0,,0,,0,,1721939416239,21,0,,0,,0,,1721939416239,862636053775837,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1727897211031,3775837,1727897211031,EdgeLight
True,True,DEVICE,00cb41a0-20c9-11ee-88ca-bb0d42b66d22,1727896729132,0,0,,0,,1727896729132,22.985598,1727896729132,257.87299705000004,1727896729132,88.8,1727896729132,0,0,,1727896729132,12040,0,,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,0,0,,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,256,1727896729132,0,0,,0,,1727896729132,0,1727896729132,0,1727896729132,0,1727896729132,44.4,1727896729132,3,0,,0,,1727896729132,0,1727811675048,0,1727896729132,-100,1727896729132,0.006385,1727896729132,n/a,0,,0,,1727896729132,752.1270029499999,0,,0,,1727896729132,29.599999999999998,1727896729132,19.42145,0,,1727896729132,29.469265,0,,0,,1727896729132,0,1727896729132,22.985598,1727896729132,0,1727897029120,295050915191953,1727896729132,12.685714285714285,0,,0,,1727897029120,27,1727896729132,Online,0,,0,,1727897029120,866834048899939,1727896729132,0,0,,1727896729132,0,0,,0,,1727896729132,83195905411272340000000000000000,1727896729132,0,1727896729132,0,1727896729132,0,0,,1727896729132,0,1727897029120,0,1727896729132,0,1727896729132,1010,0,,1727897211031,8899939-1,1727897211031,Scavenger
True,True,DEVICE,00d70b60-01bb-11ef-a9f6-c90f2ddade4f,0,,0,,1713908760000,3.516,0,,0,,0,,0,,0,,1713908760000,3516,1713908760000,78.80000000000001,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1713908760000,10,0,,0,,0,,0,,0,,0,,1713908760000,38,1713908760000,100,1713908760000,788.0000000000001,0,,0,,0,,0,,1713908760000,25.354280000000003,0,,0,,0,,1713908760000,false,0,,0,,1713908760000,false,0,,1713908760000,false,0,,0,,0,,0,,0,,0,,0,,0,,1713908760000,76,0,,1713908760000,10,0,,0,,0,,0,,0,,1713908760000,LTE NB-IoT,1713908760000,true,0,,0,,0,,0,,1713908760000,25.354280000000003,0,,0,,0,,0,,1713908760000,25.354280000000003,1727897211032,0864259063687278,1727897211032,TEK
True,True,DEVICE,00db4ee0-77a0-11ef-bdc7-f9c9b5da3899,1727896686732,18,0,,0,,1727895186736,13.805247,1727896686732,804.998149614,1727896686732,13.9,1727896686732,93,0,,1727896686732,12942,0,,1727896686732,4310,1727896386736,0,1727896386736,0,0,,1727896386736,0,1727896386736,0,0,,0,,0,,1727896686732,150,1727896686732,27,1727896686732,0,1727896686732,2,0,,0,,1727896686732,0,1727896686732,0,1727896686732,0,1727896686732,13.6,1727896686732,4,0,,0,,1727896686732,0,0,,1727896686732,1,1727896686732,34.363125,1727896686732,54,0,,0,,1727896686732,205.001850386,0,,0,,1727896686732,12.799999999999999,1727896686732,59.862366,0,,1727896686732,60.281528,0,,0,,1727896686732,59,1727896686732,13.805247,1727896686732,775,0,,1727896686732,11.942857142857141,0,,0,,0,,1727896686732,Online,0,,0,,0,,1727896686732,0,0,,1727896686732,0,0,,0,,1727896686732,0,1727890686736,0,1727890686736,1,1727896686732,59,0,,1727896686732,59.638668,0,,1727896686732,54.816971,1727896686732,1010,0,,1727897211032,1870588-10,1727897211032,Mirador2Daisy
